"author","community"
"Erik D. Goodman","31"
"Wolfgang Banzhaf","31"
"Vishnu Naresh Boddeti","31"
"Zhichao Lu","31"
"Kalyanmoy Deb","31"
"Erik D. Goodman","31"
"Wolfgang Banzhaf","31"
"Vishnu Naresh Boddeti","31"
"Zhichao Lu","31"
"Kalyanmoy Deb","31"
"Erik D. Goodman","31"
"Wolfgang Banzhaf","31"
"Vishnu Naresh Boddeti","31"
"Jerry Ma","58"
"Denis Yarats","58"
"Han Cai","21"
"Chuang Gan","21"
"Tianzhe Wang","21"
"Zhekai Zhang","21"
"Song Han","21"
"Pierre Sermanet","1"
"David Eigen","1"
"Xiang Zhang","1"
"X.-C. Zhang","1"
"Michael Mathieu","1"
"Rob Fergus","1"
"Yann LeCun","1"
"Yuhui Xu","4"
"Lingxi Xie","4"
"Xiaopeng Zhang","4"
"Xin Chen","4"
"Guo-Jun Qi","4"
"Qi Tian","4"
"Hongkai Xiong","4"
"Chenxi Liu","1+2"
"Barret Zoph","1+2"
"Maxim Neumann","1+2"
"Jonathon Shlens","1+2"
"Wei Hua","1+2"
"Li-Jia Li","1+2"
"Li Fei-Fei","1+2"
"Alan L. Yuille","1+2"
"Jonathan Huang","1+2"
"Kevin Murphy","1+2"
"Han Cai","21"
"Ligeng Zhu","21"
"Song Han","21"
"Han Cai","21"
"Ligeng Zhu","21"
"Song Han","21"
"Janghyun Kim","45"
"Jang Hyun Kim","45"
"Wonho Choo","45"
"Hyun Oh Song","45"
"Ionut Cosmin Duta","41"
"Li Liu","41"
"Fan Zhu","41"
"Ling Shao","41"
"Ekin D. Cubuk","1"
"Barret Zoph","1"
"Jonathon Shlens","1"
"Quoc V. Le","1"
"Ekin D. Cubuk","1"
"Barret Zoph","1"
"Jonathon Shlens","1"
"Quoc V. Le","1"
"Esteban Real","1"
"Alok Aggarwal","1"
"Yanping Huang","1"
"Quoc V. Le","1"
"Shanghua Gao","22"
"Ming-Ming Cheng","22"
"Kai Zhao","22"
"Xin-Yu Zhang","22"
"Ming-Hsuan Yang","22"
"Philip H. S. Torr","22"
"Shanghua Gao","22"
"Ming-Ming Cheng","22"
"Kai Zhao","22"
"Xin-Yu Zhang","22"
"Ming-Hsuan Yang","22"
"Philip H. S. Torr","22"
"Fei Wang","9"
"Mengqing Jiang","9"
"Chen Qian","9"
"Shuo Yang","9"
"Cheng Li","9"
"Honggang Zhang","9"
"Xiaogang Wang","9"
"Xiaoou Tang","9"
"Hang Zhang","5"
"Chongruo Wu","5"
"Zhongyue Zhang","5"
"Yi Zhu","5"
"Zhi Zhang","5"
"Haibin Lin","5"
"Yue Sun","5"
"Tong He","5"
"Jonas Mueller","5"
"R. Manmatha","5"
"Mu Li","5"
"Alexander J. Smola","5"
"Hang Zhang","5"
"Chongruo Wu","5"
"Zhongyue Zhang","5"
"Yi Zhu","5"
"Zhi Zhang","5"
"Haibin Lin","5"
"Yue Sun","5"
"Tong He","5"
"Jonas Mueller","5"
"R. Manmatha","5"
"Mu Li","5"
"Alexander J. Smola","5"
"Christian Szegedy","1"
"Vincent Vanhoucke","1"
